,mean cluster ratio,mean fractional difference,mean fractional importance,species count,zero-weighted difference,zero-weighted importance,reaction string,subsystem class,subsystem sub-class,subsystem,role
rxn19343,9.837678307955677e-05,4.045798438337411e-06,0.0009247971727599071,1,1.3951029097715211e-07,3.188955768137611e-05,L-Cysteine + O-Phospho-L-homoserine <=> Phosphate + L-Cystathionine,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn14184,0.0012484394506865337,1.75561797752799e-05,0.000381090634071745,1,6.053855094924103e-07,1.3141056347301552e-05,O2 + 2.0 Nitrite <=> 2.0 Nitrate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn02476,0.0017104207268141547,0.0017028075781785335,4.996850514585948e-05,1,5.87175026958115e-05,1.7230519015813615e-06,Phosphoenolpyruvate + 3-phosphoshikimate <=> Phosphate + 5-O--1-Carboxyvinyl-3-phosphoshikimate,"['Amino Acids and Derivatives', 'Amino Acids and Derivatives']","['Aromatic amino acids and derivatives', 'Aromatic amino acids and derivatives']","['Chorismate_Synthesis', 'Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)']","['5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)', '5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)']"
rxn30001,0.0035945363048168755,0.00020228992191610035,0.001216514735689882,1,6.975514548831046e-06,4.1948783989306274e-05,H2O + L-Cystathionine --> Pyruvate + Homocysteine + NH4+,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn20662,0.0037559738050420566,0.0037542668466987728,3.913830452176401e-05,2,0.00025891495494474297,2.69919341529407e-06,O2 + L-Aspartate + Glycerone-phosphate --> 2.0 H2O + Phosphate + H2O2 + H+ + Quinolinate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn09014,0.004888639836461206,0.004821865371142153,0.00021871276766004269,2,0.00033254243938911403,1.5083639148968461e-05,H2O + TTP <=> PPi + 2.0 H+ + dTMP,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn00488,0.0071763852346529156,0.006623317951531149,0.0025775636615377982,1,0.00022839027419072929,8.888150557026891e-05,H2O + O2 + L-Phenylalanine <=> NH3 + H2O2 + Phenylpyruvate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn03167,0.009957325746799417,0.009957325746799417,0.00046853052280914026,1,0.00034335606023446266,1.6156224924453112e-05,"3.0 H2O + 7,8-Dihydroneopterin 3'-triphosphate --> 3.0 Phosphate + 3.0 H+ + Dihydroneopterin","['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Experimental Subsystems', 'Phosphorus Metabolism', 'Phosphorus Metabolism']","['Folate and pterines', 'Folate and pterines', '-', '-', '-']","['Folate_Biosynthesis', 'Folate_Biosynthesis_(Phoenix_Copy)', 'Folate_Biosynthesis_(Phoenix_copy)_', 'P_uptake_(cyanobacteria)', 'Phosphate_metabolism']","['Putative DHNTP pyrophosphatase', 'Putative DHNTP pyrophosphatase', 'Putative DHNTP pyrophosphatase', 'Alkaline phosphatase (EC 3.1.3.1)', 'Alkaline phosphatase (EC 3.1.3.1)']"
rxn05144,0.0118629374458184,0.0118629374458184,0.00010981316996055086,2,0.0008181336169529931,7.573322066244887e-06,L-Glutamine + Glyceraldehyde3-phosphate + D-Ribulose5-phosphate --> 3.0 H2O + Phosphate + Pyridoxal phosphate + L-Glutamate + H+,"['Clustering-based subsystems', 'Clustering-based subsystems', 'Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Cofactors, Vitamins, Prosthetic Groups, Pigments']","['contains Thr-tRNA-syn, pyridoxine biosyn, lipid A biosyn, 3 hypos', 'contains Thr-tRNA-syn, pyridoxine biosyn, lipid A biosyn, 3 hypos', 'Pyridoxine', 'Pyridoxine']","['CBSS-1806.1.peg.1285', 'CBSS-1806.1.peg.1285', 'Pyridoxin_(Vitamin_B6)_Biosynthesis', 'Pyridoxin_(Vitamin_B6)_Biosynthesis']","['Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)', 'Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)', 'Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)', 'Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)']"
rxn19346,0.013084112149532756,0.00019824412347776987,0.0003869667835549264,1,6.8360042578541336e-06,1.3343682191549186e-05,H2O + L-Cystathionine <=> L-Cysteine + L-Homoserine,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn36645,0.014516129032258296,0.0008824394548485257,0.0002830014022762486,1,3.042894671891468e-05,9.758669044008573e-06,H2O + NAD + L-Lactaldehyde <=> NADH + 2.0 H+ + D-Lactate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn00272,0.015865384615384448,0.004634831460674116,0.003693127465867497,1,0.000159821774506004,0.00012734922296094817,L-Alanine + Glyoxalate <=> Pyruvate + Glycine,"['Carbohydrates', 'Carbohydrates', 'Carbohydrates', 'Carbohydrates']","['CO2 fixation', 'Central carbohydrate metabolism', 'One-carbon Metabolism', 'One-carbon Metabolism']","['Photorespiration_(oxidative_C2_cycle)', 'Pyruvate_Alanine_Serine_Interconversions', 'Serine-glyoxylate_cycle', 'Serine-glyoxylate_cycle']","['L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)', 'L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)', 'L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)', 'Serine--pyruvate aminotransferase (EC 2.6.1.51)']"
rxn10533,0.030431705590941327,0.0007996652564042986,0.00018374083779071023,1,2.757466401394133e-05,6.335890958300353e-06,H2O + Glycogen <=> D-Glucose + glycogen(n-1),['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn00898,0.034765311336593885,0.030736713027203155,0.002224320298230373,1,0.0010598866561104536,7.670069993897837e-05,"2,3-Dihydroxy-isovalerate --> H2O + 3-Methyl-2-oxobutanoate","['Amino Acids and Derivatives', 'Experimental Subsystems']","['Branched-chain amino acids', '-']","['Branched-Chain_Amino_Acid_Biosynthesis', 'Iron-sulfur_experimental']","['Dihydroxy-acid dehydratase (EC 4.2.1.9)', 'Dihydroxy-acid dehydratase (EC 4.2.1.9)']"
rxn09467,0.036833586592924905,0.03215249757771438,0.001454654463314932,2,0.0022174136260492677,0.00010032099746999532,8.0 H2O + 8.0 NAD + 7.0 O2 + 8.0 CoA + Octadecenoyl-CoA <=> 8.0 NADH + 9.0 Acetyl-CoA + 7.0 H2O2 + 9.0 H+,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn00243,0.03756088422630188,0.007457343437630742,0.0007186150080780691,1,0.0002571497737114049,2.4779827864761e-05,H2O + GDP-glucose <=> D-Glucose + GDP,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn23024,0.04100742654181466,0.010099977277891387,0.005829467637878999,1,0.0003482750785479788,0.00020101612544410342,NH3 + ribose-5-phosphate + Glyceraldehyde3-phosphate --> 4.0 H2O + Phosphate + Pyridoxal phosphate + H+,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn15046,0.0410300429184548,0.0038562070412081623,0.00231588431929368,1,0.00013297265659338491,7.985807997564413e-05,D-erythro-Isocitric acid <=> Succinate + Glyoxalate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn04675,0.04387299976285406,0.03498982777718315,0.0018063417647486597,12,0.014478549425041305,0.0007474517647235834,2-Oxoglutarate + H+ + Isochorismate <=> CO2 + Pyruvate + SHCHC,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn01792,0.04392680191611117,0.03795045601437552,0.0021436919278359744,6,0.007851818485732867,0.00044352246782813264,H2O + PAN <=> beta-Alanine + Pantoate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn05293,0.04463015647226165,0.0407732293697205,0.003537932563511314,1,0.0014059734265420862,0.00012199767460383841,NADH + H+ + 2-C-methyl-D-erythritol2-4-cyclodiphosphate --> H2O + NAD + 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate,"['Clustering-based subsystems', 'Experimental Subsystems', 'Experimental Subsystems', 'Fatty Acids, Lipids, and Isoprenoids', 'Fatty Acids, Lipids, and Isoprenoids']","['Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE', '-', 'Plant-Prokaryote DOE project', 'Isoprenoids', 'Isoprenoids']","['CBSS-83331.1.peg.3039', '271-Bsub', 'COG1836', 'Isoprenoid_Biosynthesis', 'Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis']","['1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)', '1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)', '1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)', '1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)', '1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)']"
rxn00737,0.04763586819397492,0.015231211074897555,0.0032055806121647377,1,0.0005252141749964674,0.00011053726248843923,L-Threonine --> NH3 + 2-Oxobutyrate,"['Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Amino Acids and Derivatives']","['Alanine, serine, and glycine', 'Alanine, serine, and glycine', 'Branched-chain amino acids', 'Branched-chain amino acids', 'Branched-chain amino acids', 'Lysine, threonine, methionine, and cysteine', 'Lysine, threonine, methionine, and cysteine', 'Lysine, threonine, methionine, and cysteine']","['Glycine_and_Serine_Utilization', 'Glycine_and_Serine_Utilization', 'Branched-Chain_Amino_Acid_Biosynthesis', 'Branched-Chain_Amino_Acid_Biosynthesis', 'Branched-Chain_Amino_Acid_Biosynthesis', 'Threonine_anaerobic_catabolism_gene_cluster', 'Threonine_degradation', 'Threonine_degradation']","['L-serine dehydratase 1 (EC 4.3.1.17)', 'Threonine dehydratase, catabolic (EC 4.3.1.19)', 'Threonine dehydratase (EC 4.3.1.19)', 'Threonine dehydratase biosynthetic (EC 4.3.1.19)', 'Threonine dehydratase, catabolic (EC 4.3.1.19)', 'Threonine dehydratase, catabolic (EC 4.3.1.19)', 'Threonine dehydratase (EC 4.3.1.19)', 'Threonine dehydratase, catabolic (EC 4.3.1.19)']"
rxn26128,0.048828125,0.00030078927104722816,0.0002625995434624872,1,1.0372043829214765e-05,9.05515667112025e-06,H2O + Amylotriose --> beta-Maltose + alpha-D-Glucose,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn02186,0.04902517846865928,0.04742312647279465,0.0019418987382396331,4,0.006541120892799262,0.0002678481018261563,"NADPH + H+ + ALCTT <=> NADP + 2,3-Dihydroxy-isovalerate","['Amino Acids and Derivatives', 'Cofactors, Vitamins, Prosthetic Groups, Pigments']","['Branched-chain amino acids', 'Coenzyme A']","['Branched-Chain_Amino_Acid_Biosynthesis', 'Coenzyme_A_Biosynthesis']","['Ketol-acid reductoisomerase (EC 1.1.1.86)', 'Ketol-acid reductoisomerase (EC 1.1.1.86)']"
rxn10053,0.0500529404924539,0.030053673004730497,0.002637662682708207,12,0.012436002622647102,0.001091446627327534,H2O + ATP + CO2 + AIR <=> ADP + Phosphate + 2.0 H+ + 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn00141,0.051746483325430526,0.008228239398036657,0.0014402815416465675,1,0.0002837323930357468,4.966488074643336e-05,H2O + S-Adenosyl-homocysteine <=> Homocysteine + Adenosine,"['Amino Acids and Derivatives', 'Amino Acids and Derivatives', 'Experimental Subsystems', 'Experimental Subsystems']","['Lysine, threonine, methionine, and cysteine', 'Lysine, threonine, methionine, and cysteine', '-', '-']","['Methionine_Biosynthesis', 'Methionine_Degradation', 'ArsR_methyltransferase_fusion', 'S-Adenosylhomocysteine_and_S-Methylthioadenosine_metabolism']","['Adenosylhomocysteinase (EC 3.3.1.1)', 'Adenosylhomocysteinase (EC 3.3.1.1)', 'Adenosylhomocysteinase (EC 3.3.1.1)', 'Adenosylhomocysteinase (EC 3.3.1.1)']"
rxn05040,0.052697272613028735,0.02305910338179736,0.0025284236981375965,6,0.004770848975544281,0.0005231221444422613,D-Ribulose5-phosphate --> Formate + H+ + 3-4-dihydroxy-2-butanone4-phosphate,"['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Cofactors, Vitamins, Prosthetic Groups, Pigments']","['Folate and pterines', 'Riboflavin, FMN, FAD', 'Riboflavin, FMN, FAD', 'Riboflavin, FMN, FAD']","['YgfZ', 'Riboflavin,_FMN_and_FAD_metabolism', 'Riboflavin,_FMN_and_FAD_metabolism', 'riboflavin_to_FAD']","['GTP cyclohydrolase II (EC 3.5.4.25)', '3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)', 'GTP cyclohydrolase II (EC 3.5.4.25)', '3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)']"
rxn00555,0.05396878040317301,0.031725660220638136,0.004180595779525263,6,0.006563929700821683,0.0008649508509362614,L-Glutamine + D-fructose-6-phosphate <=> L-Glutamate + D-Glucosamine phosphate,"['Carbohydrates', 'Cell Wall and Capsule', 'Cell Wall and Capsule', 'Clustering-based subsystems', 'Experimental Subsystems', 'Experimental Subsystems']","['One-carbon Metabolism', '-', 'Capsular and extracellular polysacchrides', '-', '-', 'Plant-Prokaryote DOE project']","['Formaldehyde_assimilation:_Ribulose_monophosphate_pathway', 'UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis', 'Sialic_Acid_Metabolism', 'CBSS-261591.3.peg.3916', '271-Bsub', 'PROSC']","['Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)', 'Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)', 'Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)', 'Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)', 'Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)', 'Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)']"
rxn04092,0.05875305102654608,0.03313524749241139,0.0016763741971550547,6,0.006855568446705805,0.00034683604079070095,H2O + O2 + D-Alanine <=> NH3 + Pyruvate + H2O2,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn35359,0.05904640557939933,0.028413307947981636,0.004408970252453496,1,0.0009797692395855737,0.00015203345698115505,Chorismate + NH4+ --> H2O + Pyruvate + H+ + Anthranilate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn24330,0.06297598434038788,0.04532917884398465,0.004725440541538696,12,0.018756901590614338,0.0019553547068435983,ATP + CoA + Succinylbenzoate <=> ADP + Phosphate + Succinylbenzoyl-CoA,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn09340,0.06373931150581477,0.006172361570043531,0.0018532788967219275,4,0.0008513602165577284,0.00025562467540992106,H2O + UDP-N-acetyl-D-galactosamine <=> H+ + UMP + N-Acetyl-D-galactosamine 1-phosphate,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
rxn01207,0.06426118937089942,0.02364107575649015,0.0028099273789188193,5,0.004076047544222439,0.00048447023774462404,NAD + CoA + 4MOP <=> NADH + CO2 + Isovaleryl-CoA,['Unassigned'],['Unassigned'],['Unassigned'],['Unassigned']
